set_names,set_codes,total_cards,release_date
2-Player Starter Deck: Yuya & Declan,YS15,42,2015-05-28
2013 Collectible Tins Wave 1,CT10,9,2013-08-30
2013 Collectible Tins Wave 2,CT10,9,2013-11-22
2014 Mega-Tin Mega Pack,MP14,247,2014-08-28
2014 Mega-Tins,CT11,6,2014-08-28
2015 Mega-Tin Mega Pack,MP15,247,2015-09-17
2015 Mega-Tins,CT12,6,2015-09-17
2016 Mega-Tin Mega Pack,MP16,239,2016-09-01
2016 Mega-Tins,CT13,12,2016-09-01
2017 Mega-Tin Mega Pack,MP17,239,2017-08-24
2017 Mega-Tins,CT14,8,2017-08-24
2018 Mega-Tin Mega Pack,MP18,233,2018-08-30
2018 Mega-Tins,CT15,10,2018-08-30
2019 Gold Sarcophagus Tin,TN19,14,2019-08-29
2019 Gold Sarcophagus Tin Mega Pack,MP19,270,2019-08-29
2020 Tin of Lost Memories,MP20,6,2020-08-27
2020 Tin of Lost Memories Mega Pack,MP20,246,2020-08-27
2021 Tin of Ancient Battles,MP21,258,2021-09-30
Absolute Powerforce,ABPF,100,2010-02-12
Absolute Powerforce Sneak Peek Participation Card,ABPF,1,2010-02-06
Absolute Powerforce: Special Edition,ABPF,2,2010-03-26
Abyss Rising,ABYR,100,2012-11-09
Abyss Rising Sneak Peek Participation Card,ABYR,1,2012-11-03
Abyss Rising: Special Edition,ABYR,2,2012-12-05
Advanced Demo Deck Extra Pack,DEM4,10,2018-01-06
Ancient Guardians,ANGU,60,2021-04-29
Ancient Prophecy,ANPR,100,2009-09-01
Ancient Prophecy Sneak Peek Participation Card,ANPR,1,2009-08-15
Ancient Prophecy: Special Edition,ANPR,2,2009-10-09
Ancient Sanctuary,AST,112,2004-06-01
Anniversary Pack,YAP1,8,2008-12-08
Astral Pack Eight,AP08,27,2015-10-23
Astral Pack Five,AP05,26,2014-07-25
Astral Pack Four,AP04,26,2014-02-07
Astral Pack One,AP01,25,2012-11-23
Astral Pack Seven,AP07,27,2015-06-04
Astral Pack Six,AP06,28,2014-12-05
Astral Pack Three,AP03,26,2013-09-13
Astral Pack Two,AP02,25,2013-04-19
Battle of Chaos,BACH,88,2022-02-10
Battle Pack 2: War of the Giants,BP02,215,2013-06-28
Battle Pack 3: Monster League,BP03,237,2014-07-31
Battle Pack Tournament Prize Cards,BATT,20,2012-05-29
Battle Pack: Epic Dawn,BP01,220,2012-05-24
Battles of Legend: Armageddon,BLAR,94,2020-07-24
Battles of Legend: Hero's Revenge,BLHR,94,2019-06-11
Battles of Legend: Light's Revenge,BLLR,80,2017-07-06
Battles of Legend: Relentless Revenge,BLRR,105,2018-06-28
Blazing Vortex,BLVO,101,2021-02-04
Blazing Vortex Premiere! promotional card,BLVO,1,2021-01-30
Blue-Eyes Alternative White Dragon Sweepstakes,SBPR,1,2021-11-07
Booster Pack Collectors Tins 2002,BPT,6,2002-10-04
Breakers of Shadow,BOSH,100,2016-01-14
Breakers of Shadow Sneak Peek Participation Card,BOSH,1,2016-01-09
Breakers of Shadow: Special Edition,BOSH,4,2016-02-25
Brothers of Legend,BROL,95,2021-12-02
Burst of Destiny,BODE,101,2021-11-04
Champion Pack: Game Eight,CP08,20,2009-01-05
Champion Pack: Game Five,CP05,20,2008-01-08
Champion Pack: Game Four,CP04,20,2007-09-06
Champion Pack: Game One,CP01,20,2006-11-11
Champion Pack: Game Seven,CP07,20,2008-09-01
Champion Pack: Game Six,CP06,20,2008-05-12
Champion Pack: Game Three,CP03,20,2007-05-15
Champion Pack: Game Two,CP02,20,2007-02-06
Chaos Impact,CHIM,100,2019-10-24
Chaos Impact Sneak Peek Participation Card,CHIM,1,2019-10-19
Chaos Impact Special Edition,CHIM,4,2019-12-05
Circuit Break,CIBR,100,2017-10-19
Circuit Break Sneak Peek Participation Card,CIBR,1,2017-10-14
Circuit Break Special Edition,CIBR,4,2017-12-07
Clash of Rebellions,CORE,100,2015-08-06
Clash of Rebellions Sneak Peek Participation Card,CORE,1,2015-08-01
Clash of Rebellions: Special Edition,CORE,4,2015-12-11
Code of the Duelist,COTD,100,2017-08-03
Code of the Duelist Sneak Peek Participation Card,COTD,1,2017-07-29
Code of the Duelist Special Edition,COTD,4,2017-09-21
Collectible Tins 2003,BPT,6,2003-09-01
Collectible Tins 2004,CT1,6,2004-09-01
Collectible Tins 2005,CT2,6,2005-09-01
Collectible Tins 2006 Wave 1,CT03,3,2006-09-11
Collectible Tins 2006 Wave 2,CT03,3,2006-11-01
Collectible Tins 2007 Wave 1,CT04,3,2007-08-29
Collectible Tins 2007 Wave 2,CT04,3,2007-11-15
Collectible Tins 2008 Wave 1,CT05,2,2008-08-18
Collectible Tins 2008 Wave 2,CT05,2,2008-11-03
Collectible Tins 2009 Wave 1,CT06,2,2009-08-18
Collectible Tins 2009 Wave 2,CT06,2,2009-11-03
Collectible Tins 2010 Wave 1,CT07,15,2010-08-31
Collectible Tins 2010 Wave 2,CT07,10,2010-11-02
Collectible Tins 2011 Wave 1,CT08,9,2011-08-25
Collectible Tins 2011 Wave 2,CT08,9,2011-11-01
Collectible Tins 2012 Wave 1,CT09,9,2012-08-10
Collectible Tins 2012 Wave 2,CT09,9,2012-10-26
Collectible Tins 2012 Wave 2.5,CT09,5,2013-01-18
Collectible Tins Exclusive 2008,CT05,3,2008-09-23
Collectible Tins Exclusive 2009,CT06,4,2009-09-22
Cosmo Blazer,CBLZ,100,2013-01-25
Cosmo Blazer Sneak Peek Participation Card,CBLZ,1,2013-01-19
Cosmo Blazer: Special Edition,CBLZ,2,2013-03-21
Crimson Crisis,CRMS,100,2009-03-03
Crimson Crisis Sneak Peek Participation Card,CRMS,1,2009-02-28
